Effectsize	se	pvalue	TYPE	gene_list_name
0.6703083954960499	0.4534587333009397	0.14067864237161146	DEL	paneth_cells.tsv
-0.12038188965198048	0.19128574183219377	0.5297390797544693	DUP	paneth_cells.tsv
-1.0735739841178957	0.3763255270975143	0.004716843762939134	DEL	schwann_cells.tsv
-0.11933771749017907	0.1799095118501346	0.5077698017290138	DUP	schwann_cells.tsv
-0.0643558861626923	0.4659367158014717	0.890261660492521	DEL	melanocytes.tsv
0.10170577857037089	0.16681325194223656	0.5426456804827002	DUP	melanocytes.tsv
0.35583734382891524	0.38085659076177514	0.3510959978175062	DEL	skeletal_myocytes.tsv
-0.01787902467619	0.18359492919447135	0.9225045503309534	DUP	skeletal_myocytes.tsv
0.08051015107839887	0.37800651204637414	0.8315208555972043	DEL	granulocytes.tsv
-0.027504920814997905	0.1738553795115663	0.8744293889927128	DUP	granulocytes.tsv
-0.2221202805835878	0.37514948219806965	0.55435826181442	DEL	late_spermatids.tsv
-0.12095339038377644	0.19421203654996771	0.5340210653561901	DUP	late_spermatids.tsv
0.517823943216656	0.37339895434597686	0.16681040495544705	DEL	exocrine_glandular_cells.tsv
-0.12050678655851088	0.217332412060594	0.5797722675257042	DUP	exocrine_glandular_cells.tsv
0.11887913073337293	0.4709864083987978	0.8009471176842529	DEL	club_cells.tsv
-0.37509437850205174	0.24141170979230034	0.12157746687794882	DUP	club_cells.tsv
0.027490851609807687	0.5336849653650104	0.9589614190658329	DEL	nk_cells.tsv
0.1448239480693372	0.19351948819396125	0.4549797379915982	DUP	nk_cells.tsv
0.1966332473950091	0.3508741347395827	0.5757294213437731	DEL	peritubular_cells.tsv
0.26819896909005475	0.23968171985647757	0.26428164588920006	DUP	peritubular_cells.tsv
-0.1587011469673788	0.34586473442305643	0.6467601000914408	DEL	granulosa_cells.tsv
-0.15689660336004524	0.22809023752239146	0.4922068424893352	DUP	granulosa_cells.tsv
-0.5664817822374895	0.38630683044136127	0.1438639079691535	DEL	basal_respiratory_cells.tsv
-0.27428000942148434	0.23124150030457505	0.23676292405525343	DUP	basal_respiratory_cells.tsv
-1.5478587106598203	0.4839525950755377	0.0015705834234463823	DEL	cardiomyocytes.tsv
0.41055944428864655	0.1970802732978157	0.03830433795944867	DUP	cardiomyocytes.tsv
0.36285058585296415	0.5515109477247062	0.5112274828640077	DEL	secretory_cells.tsv
0.020621316878770085	0.22142105841110443	0.9258776236888138	DUP	secretory_cells.tsv
3.55632444830262e-15	3.52240900836755e-15	0.3136986595125436	DEL	dendritic_cells.tsv
-0.08298916027917458	0.2719070702019726	0.7604729657195648	DUP	dendritic_cells.tsv
-0.14952383323922563	0.3379938574197171	0.6586131813171954	DEL	spermatogonia.tsv
-0.1876485251596852	0.1832202052226874	0.3067994972886829	DUP	spermatogonia.tsv
0.1461068157551738	0.45507195360908526	0.7484455084202586	DEL	serous_glandular_cells.tsv
-0.04534949617090929	0.17530488814935133	0.7960995145385401	DUP	serous_glandular_cells.tsv
0.0684983024529993	0.5554928440456224	0.9019654471039724	DEL	kupffer_cells.tsv
